year,toy_num,model_name,series,photo_url
1985,Hong Kong,Quik Trik,Spectraflame Magenta,https://static.wikia.nocookie.net/hotwheels/images/b/bd/Quick_Trick.jpg/revision/latest?cb=20081208204430
1985,Hong Kong,Sol-Aire CX-4,Unpainted,https://static.wikia.nocookie.net/hotwheels/images/8/88/Sol_Aire_unptd.JPG/revision/latest?cb=20091010213743
1985,Hong Kong,Sol-Aire CX-4,Metalflake Silver,https://static.wikia.nocookie.net/hotwheels/images/9/9b/Sol_Aire_silv.JPG/revision/latest?cb=20091010215807
1985,Malaysia,Speed Seeker,Spectraflame Dark Red,https://static.wikia.nocookie.net/hotwheels/images/b/b7/Speed_Speeker_Red.JPG/revision/latest?cb=20090131000958
1985,Hong Kong,Wind Splitter,Spectraflame Blue,https://static.wikia.nocookie.net/hotwheels/images/2/2e/BMW_M1_Blu.JPG/revision/latest?cb=20090314164038
1985,9643,Letter Getter,,[]
1985,2855,Space Vehicle,,/wiki/Space_Van
1985,2505,Auburn 852,,[]
1986,7527,Fiero 2M4,,[]
1986,7532,Gulch Stepper,,[]
1986,7529,Nissan 300ZX,,[]
1986,7530,Tall Ryder,,[]
1986,,Turbo Streak,,[]
1986,,Black Lightning,,/wiki/Turbo_Streak
1986,,Good Ol' Pick-Um-Up,,/wiki/%2756_Hi-Tail_Hauler
1986,9542,Pavement Pounder,,[]
1986,9545,Thunderstreak,,/wiki/Formula_Fever
1986,,Baja Bug,,[]
1986,,Baja Bug,,[]
1986,Malaysia,Sol-Aire CX-4,Metalflake Red,https://static.wikia.nocookie.net/hotwheels/images/f/f3/Sol_Aire_DkMtRed.JPG/revision/latest?cb=20091010213546
1986,Hong Kong,Jet Sweep X5,Spectraflame Yellow,https://static.wikia.nocookie.net/hotwheels/images/a/a1/Jet_Sweep_Yel.JPG/revision/latest?cb=20090116170712
1986,Malaysia,Nightstreaker,Purple Spectraflame,https://static.wikia.nocookie.net/hotwheels/images/4/4a/1985_Hot_Wheels_Nightstreaker_Ultra_Hots_-_5406df.jpg/revision/latest?cb=20170721083919
1986,Hong Kong,Redliner,Spectraflame Gold,https://static.wikia.nocookie.net/hotwheels/images/a/a7/Redliner.JPG/revision/latest?cb=20090123001347
1986,Malaysia,Silver Bullet,Unpainted,https://static.wikia.nocookie.net/hotwheels/images/e/e4/Silver_Bullit_Unpt.JPG/revision/latest?cb=20090219220643
1986,Malaysia,Street Beast,Metalflake Blue,https://static.wikia.nocookie.net/hotwheels/images/5/54/Street_Beast_-_5405df.jpg/revision/latest?cb=20170321065153
1986,Hong Kong,Street Scorcher,Metalflake Red,https://static.wikia.nocookie.net/hotwheels/images/a/a7/Street_Scorcher_-_3409df.jpg/revision/latest?cb=20080925043548
1986,Hong Kong,Wind Splitter,Metalflake Green,https://static.wikia.nocookie.net/hotwheels/images/b/bc/Wind_Splitter_Grn.JPG/revision/latest?cb=20090110223147
1986,5272,Big Bertha,Action Command,/wiki/Tough_Customer
1986,4920,Command Tank,Action Command,[]
1986,9375,Roll Patrol Jeep CJ,Action Command,[]
1986,9373,Super Cannon,Action Command,/wiki/Megadestroyer
1986,,Super Cannon,Battleground 4-Pack,/wiki/Megadestroyer
1986,9374,Tank Gunner,Action Command,/wiki/Gun_Bucket
1986,,Turbo Streak,,[]
1986,9523,Fat Fendered '40,,/wiki/%2740%27s_Ford_2-Door
1986,9531,Mustang S.V.O.,,/wiki/Turbo_Mustang
1986,9521,Screamin',,/wiki/Army_Funny_Car
1986,1691,Snake Busters Car,,/wiki/Cannonade
1986,7647,Torino Tornado,,/wiki/Torino_Stocker
1987,2058,Cargoyle,Speed Demons,[]
1987,2058,Cargoyle,Speed Demons,[]
1987,2057,Double Demon,Speed Demons,[]
1987,2057,Double Demon,Speed Demons,[]
1987,2062,Eevil Weevil,Speed Demons,[]
1987,2059,Fangster,Speed Demons,[]
1987,2061,Turboa,Speed Demons,[]
1987,2060,Vampyra,Speed Demons,[]
1987,,Combat Medic,,/wiki/Letter_Getter
1987,,Highway Heat,,/wiki/Turbo_Heater
1987,,Poppa 'Vette,,/wiki/Vetty_Funny
1987,2538,Power Plower,,/wiki/Super_Scraper
1987,2520,Race Ace,,[]
1987,2537,Rescue Ranger,Workhorses,[]
1987,2518,Shell Shocker,Action Command,/wiki/Aw_Shoot
1987,2522,Stock Rocket,,/wiki/NASCAR_Stocker
1987,2527,Auburn 852,,[]
1987,Malaysia,Path Beater,Black,https://static.wikia.nocookie.net/hotwheels/images/9/9c/Pathbeater_blackrr.JPG/revision/latest?cb=20100504103744
